VOIE_ID,VOIE_COMPLET,VOIE_FANTOIR,VOIE_DATECRE,VOIE_REAL,VOIE_OFFICIEL,TENANT,ABOUTISSANT,DENOM_ANNEE,DM_SEANCE,DELIB_NUM,COTE_ARCHIVES,DENOM_ORIGINE,DENOM_N_MOINS_1,DENOM_N_MOINS_1_ANNEE,DENOM_N_MOINS_2,DENOM_N_MOINS_2_ANNEE,LIEN_EXTERNE,OBSERVATIONS,GeoJSON
604,Place Paul Mistral,5520,2000-01-01,oui,oui,JEAN PAIN (BOULEVARD),JEAN PERROT (AVENUE),1932,2019-11-02,,Inconnue,"Paul Mistral, né à La Morte (Isère) le 19 septembre 1872 et mort à La Morte  le 17 août 1932, personnalité politique.",Inconnue,Inconnue,Inconnue,Inconnue,"http://fr.wikipedia.org/wiki/Paul_Mistral_(homme_politique,_1872-1932)",,"{""type"":""LineString"",""coordinates"":[[5.73188935696086,45.1853088153218],[5.73230320193584,45.1851562336917],[5.73259378644567,45.1848086950371],[5.73296119812915,45.1843692640636],[5.733088245268,45.1841920581537],[5.73347481911544,45.1836528556905],[5.73363033340077,45.1834359373906],[5.73364716776952,45.1833490915976]]}"
605,Rue Paul Painlevé,5530,2000-01-01,oui,oui,MARBEUF (RUE),SAVANE (PARC),1956,2019-11-02,,Inconnue,"Paul Painlevé, né à Paris le 5 décembre 1863 et mort à Paris le 29 octobre 1933, mathématicien et homme politique.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Painlev%C3%A9,,"{""type"":""LineString"",""coordinates"":[[5.70623670592418,45.1769580285872],[5.70659250087752,45.1767747340121],[5.70690422868777,45.1766141396123]]}"
606,Rue Paul Strauss,5545,2000-01-01,oui,oui,RHIN ET DANUBE (AVENUE),ALBERT THOMAS (RUE),1949,2019-11-02,,Inconnue,"Paul Strauss, né à Ronchamp (Haute-Saône) le 23 septembre 1852 et mort à Hendaye le 22 février 1942, journaliste et homme politique.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Strauss,,"{""type"":""LineString"",""coordinates"":[[5.70483532149863,45.168748642339],[5.70240615395067,45.1687930541862]]}"
607,Rue Paul Valéry,5560,2000-01-01,oui,oui,STALINGRAD (RUE DE),SANS ISSUE,1959,2019-11-02,,Inconnue,"Ambroise Paul Toussaint Jules Valéry, né à Sète le 30 octobre 1871 et mort à Paris le 20 juillet 1945, écrivain, poète et philosophe.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Val%C3%A9ry,,"{""type"":""LineString"",""coordinates"":[[5.72549605404033,45.1783815510202],[5.72600310380443,45.1783429297435]]}"
608,Place Paul Vallier,5570,2000-01-01,oui,oui,JEAN PAIN (BOULEVARD),STRASBOURG (RUE DE),1944,2019-11-02,,Inconnue,"Paul Gariboldi dit Paul Vallier, né à Ecully en 1919 et mort à Fontaine en 1944, résistant.",Alpes (place des),,Augustins (place des),,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.732493122973,45.1863026451609],[5.73285420047448,45.1865635318113],[5.73339526968188,45.1859013528763]]}"
609,Avenue Paul Verlaine,5580,2000-01-01,oui,oui,LEON BLUM (AVENUE),"LIBERATION ET DU G, DE GAULLE",1930,1930-12-20,7,Inconnue,"Paul Marie Verlaine, né à Metz (Moselle) le 30 mars 1844 et mort à Paris le 8 janvier 1896, poète.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Verlaine,,"{""type"":""MultiLineString"",""coordinates"":[[[5.7111152515035,45.16442084571],[5.71250147186388,45.1637055364004],[5.71268542812409,45.1634589731022],[5.71579370478484,45.1619286173219]],[[5.70924601116668,45.1652186772321],[5.71244603580825,45.1636114490706],[5.71268542812409,45.1634589731022],[5.71241535252634,45.1635010575114],[5.71104297481395,45.1642053036579]]]}"
610,Rue Pégoud,5590,2000-01-01,oui,oui,MOYRAND (RUE),LOUIS ET AUGUSTE LUMIERE (RUE),1924,2019-11-02,,Inconnue,"Célestin Adolphe Pégoud, né à Montferrat le 13 juin 1889 et mort à Petit-Croix (Territoire de Belfort) le 31 août 1915, aviateur français de la Première Guerre mondiale.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Adolphe_P%C3%A9goud,,"{""type"":""LineString"",""coordinates"":[[5.73881703532311,45.1820254761103],[5.73882319682021,45.1819163154135],[5.73884132897358,45.1817843098128],[5.73885981360468,45.1816343736027],[5.73887165605117,45.1815428950333],[5.73888679009515,45.1814227738252],[5.73889318644298,45.1813688259357],[5.73890197462568,45.1813078741299],[5.73891856105398,45.1811733922101],[5.7389352222353,45.1810489038337],[5.73893568737866,45.1810394348013],[5.73896400047281,45.1808223927408],[5.73898234758553,45.1806592228317],[5.73900717694786,45.1805884365841]]}"
611,Allée de la Pelouse,5598,2000-01-01,oui,oui,GEANTS (PLACE DES),BALADINS (GALERIE DES),1978,1978-06-02,97,Inconnue,Origine imprécise.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73624896096989,45.1625897183629],[5.73625434231125,45.1618861904581],[5.73649267391511,45.1618836073273],[5.73651329992808,45.1616003414119],[5.73685348073667,45.1615354666753]]}"
612,Rue d'Arménie,598,2000-01-01,oui,oui,FRISE (RUE DE LA),DOYEN LOUIS WEIL (AVENUE),1993,1993-09-17,96,Inconnue,"L’Arménie ou République d'Arménie, en arménien Hayastan,  est un pays situé dans le Petit Caucase.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Arm%C3%A9nie,,"{""type"":""LineString"",""coordinates"":[[5.71184415249169,45.1936355888015],[5.71098232294606,45.1934186130821],[5.71122041159978,45.1928960868986],[5.7114507537817,45.1923905521583],[5.71166772017381,45.1919017670644],[5.71186316274417,45.1914614636149]]}"
613,Rue Père Marion,5603,2000-01-01,oui,oui,FELIX POULAT (RUE),CORNEILLE (RUE),1984,1984-09-07,154,Inconnue,Voie ainsi dénommée en hommage à un prêtre qui exerça son Ministère pendant plusieurs années à l'Eglise Saint Louis.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72547769067386,45.1899459826167],[5.72537137160219,45.1898450466465],[5.72566008908947,45.1895397170649]]}"
614,Quai Perrière,5608,2000-01-01,oui,oui,CYMAISE (PLACE DE LA),MARIUS GONTARD (PONT),1835,2019-11-02,,Inconnue,"Origine imprécise. ""Perrière"" est un dérivé du mot ""Pierre"", il désigne également une carrière. ",Perrière (rue),Inconnue,Inconnue,Inconnue,http://cnrtl.fr/definition/academie9/perri%C3%A8re,Ainsi dénommé depuis 1862 d'après Dreydus,"{""type"":""LineString"",""coordinates"":[[5.72390831565286,45.1935740319861],[5.72431768516779,45.193644261849],[5.72528504226689,45.1938818955517],[5.72776969611558,45.1943890883555],[5.72857624750961,45.1948721937166]]}"
615,Chemin du Petit Nice,5620,2000-01-01,oui,oui,GUYNEMER (RUE),ROGER SALENGRO (BOULEVARD),Inconnue,2019-11-02,,Inconnue,Origine imprécise.  ,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71040373202291,45.1762654230844],[5.71039625254551,45.1762307657422],[5.71033112747843,45.1760055463202],[5.71029333499078,45.1758740875444],[5.71026358047429,45.17576049588],[5.71023311665448,45.1756522377588],[5.71018722532871,45.1754952592676]]}"
616,Rue des Peupliers,5625,2000-01-01,oui,oui,LA BRUYERE (AVENUE),ALFRED DE MUSSET (RUE),1973,1973-05-14,,Inconnue,Dénomination en référence à l'arbre de la famille des Salicacées.,Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Peuplier,,"{""type"":""LineString"",""coordinates"":[[5.73021696513118,45.1665589621946],[5.73021869598157,45.1665165872683],[5.7302393037765,45.1660106614031],[5.73026406122851,45.1654028487714],[5.73029237076639,45.1647078140726]]}"
617,Rue du Phalanstère,5630,2000-01-01,oui,oui,BOISSET (RUE),THIERS (RUE),1880,2019-11-02,,Inconnue,Un phalanstère (du grec Phalanx) est un regroupement organique des éléments considérés nécessaires à la vie harmonieuse d'une communauté appelée la Phalange.,Robinson (chemin de),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Phalanst%C3%A8re,,"{""type"":""LineString"",""coordinates"":[[5.72162959521976,45.1878893495404],[5.72162734454899,45.1877532224399],[5.72248541416268,45.1871747203994],[5.72281562504106,45.186941688234]]}"
618,Place de Philippeville,5640,2000-01-01,oui,oui,BELGRADE (RUE DE),VILLE (JARDIN DE),1945,2019-11-02,,Inconnue,"Skikda, anciennement appelée Philippeville lors de la colonisation française, est une commune algérienne située en bordure de la mer Méditerranée, à 345 km à l'est d'Alger, dans la wilaya de Skikda.",Manutention (place de la),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Skikda,,"{""type"":""LineString"",""coordinates"":[[5.72532872910326,45.19232674735],[5.72486711780093,45.1922729724393]]}"
619,Rue Philis de la Charce,5650,2000-01-01,oui,oui,REPUBLIQUE (RUE DE LA),RAOUL BLANCHARD (RUE),1888,2019-11-02,10,Inconnue,"Philis de la Tour du Pin de la Charce, née à Nyons en 1645 et morte à Nyons en 1703, figure historique du Dauphiné.",Halle (place de la),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Philis_de_La_Charce,Elargie en 1909 d'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.72816951890327,45.190838509166],[5.72775258240267,45.1902850506744],[5.72768398423462,45.190256655597]]}"
620,Rue Pierre Arthaud,5660,2000-01-01,oui,oui,TURENNE (RUE DE),CONDORCET (PLACE),1911,2019-11-02,,Inconnue,"Pierre François Arthaud, né à Grenoble en 1757 et mort à Grenoble en 1840, notaire, homme politique.",Bains (chemin des),Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72166353254316,45.1848631365104],[5.72096913669283,45.1852845264852]]}"
621,Rue Pierre Bonnard,5670,2000-01-01,oui,oui,CHARMILLES (RUE DES),EMILE ZOLA (RUE),1948,1948-11-18,,Inconnue,"Pierre Bonnard, né à Fontenay-aux-Roses le 3 octobre 1867 et mort au Cannet le 23 janvier 1947, peintre, graveur, illustrateur et sculpteur.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Bonnard,,"{""type"":""LineString"",""coordinates"":[[5.72641093424332,45.1750665350508],[5.72658042089434,45.1754033153687],[5.72674990950214,45.1757400953842]]}"
622,Rue Pierre Curie,5687,2000-01-01,oui,oui,MALLIFAUD (RUE),SANS ISSUE,Inconnue,2019-11-02,,Inconnue,"Pierre Curie, né à Paris le 15 mai 1859 et mort à Paris le 19 avril 1906, physicien.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Curie,Ainsi dénommée depuis le début du 20è siècle d'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.73102757454028,45.1806293065],[5.73104992057642,45.180187407423]]}"
623,Rue d'Arsonval,600,2000-01-01,oui,oui,EDOUARD BRANLY (RUE),CASIMIR BRENIER (RUE),1941,2019-11-02,,Inconnue,"Jacques Arsène d'Arsonval, né à La Borie (Haute Vienne) en 1851 et mort à La Borie, physicien et médecin.",Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71752299459506,45.1929200539276],[5.71745105738396,45.1926945596234],[5.71757916999547,45.1922615531632],[5.71773989543775,45.1917183094202]]}"
624,Rue Pierre de Coubertin,5685,2000-01-01,oui,oui,ROCADE SUD (VOIE EXPRESS U2),SANS ISSUE,1971,1971-12-10,,Inconnue,"Pierre Fredy de Coubertin, né à Paris le 1er janvier 1863 et mort à Genève le 2 septembre 1937, historien et pédagogue.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_de_Coubertin,,"{""type"":""LineString"",""coordinates"":[[5.71203921659462,45.1594801244783],[5.71073032115701,45.1591354723919],[5.71051452558268,45.1586272981513]]}"
625,Rue Pierre Duclot,5690,2000-01-01,oui,oui,BARNAVE (RUE),SAINTE-CLAIRE (PLACE),1909,2019-11-02,,Inconnue,"Pierre Duclot, né à Vif en 1848 (date et lieu de décès inconnus), négociant et homme politique.",Sainte-Claire (rue),Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73052280512553,45.1923926809085],[5.73046025917825,45.19229785315],[5.73062581616797,45.1917074344044],[5.73075332790453,45.1916416036775]]}"
626,Rue Pierre Dupont,5694,2000-01-01,oui,oui,JEAN JAURES (COURS),IRVOY (RUE),1878,2019-11-02,,Inconnue,"Pierre Dupont, né à Lyon le 23 avril 1821 et mort à Lyon le 24 juillet 1870, chansonnier, poète et goguettier.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Dupont_(chansonnier),,"{""type"":""LineString"",""coordinates"":[[5.71457190671941,45.1816015063781],[5.71583268171008,45.1813725394555],[5.71681707205076,45.1813939127001]]}"
627,Rond point Pierre et Marie Curie,5715,2000-01-01,oui,oui,EDMOND ESMONIN (AVENUE),LUCIEN ANDRIEUX (RUE),1997,1997-06-16,,2206W 341,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72097280135624,45.1603246601451],[5.72089159993525,45.1605189542748],[5.7206024051014,45.1607000175253],[5.72019061852519,45.1607212794214],[5.71993562051381,45.160663418406],[5.71963611372511,45.1604169517574],[5.7195874743836,45.1601572544365],[5.71969265806784,45.1599464927147],[5.71994397825371,45.1597967584442],[5.72017614338964,45.159730832607],[5.72042792449924,45.1597530096542],[5.72063598524503,45.1598451718],[5.72065281838797,45.1598532673008],[5.72081575339866,45.1599316267856],[5.72091578252677,45.1600652069873],[5.72097280135624,45.1603246601451]]}"
628,Place Pierre Gaspard,5696,2000-01-01,oui,oui,MARIE REYNOARD (AVENUE),MAURICE DODEROT (RUE),1967,1967-07-12,1,Inconnue,"Pierre Gaspard, né à Saint-Christophe-en-Oisans le 27 mars 1834 et mort à Saint-Christophe-en-Oisans en 1915, alpiniste.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Gaspard,,"{""type"":""LineString"",""coordinates"":[[5.72985848573831,45.1641118353292],[5.73003809483357,45.1641179188679],[5.73004995638145,45.1638820613955],[5.72941068885086,45.1637331320286],[5.7286535279365,45.1638165713885]]}"
629,Place Pierre Lory,5700,2000-01-01,oui,oui,EDMOND ESMONIN (AVENUE),AIME PUPIN (RUE),1967,1967-07-12,1,Inconnue,"Pierre Lory, né à Grenoble en 1866 et mort à Seyssins en 1956, géologue.",Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72484072047292,45.160489398315],[5.72526222745426,45.1603291996236],[5.7259395474102,45.1603438754916],[5.72648640257515,45.1603557216248],[5.72698014999243,45.1604938753754]]}"
630,Rue Pierre Loti,5710,2000-01-01,oui,oui,DIABLES BLEUS (BOULEVARD DES),ALBERT 1ER DE BELGIQUE (AVENUE),1934,2019-11-02,,Inconnue,"Pierre Loti, né Louis Marie Julien Viaud, à Rochefort le 14 janvier 1850 et mort à Hendaye le 10 juin 1923, écrivain  et officier de marine.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Loti,,"{""type"":""LineString"",""coordinates"":[[5.73266955902675,45.1834942039378],[5.73274644856886,45.1819844697566]]}"
631,Allée Pierre Ruibet,5719,2000-01-01,oui,oui,DOCTEUR HERMITE (RUE),JEAN VEYRAT (RUE),2001,2001-01-22,,2627W 59,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71215922330943,45.1811289939551],[5.71219195584667,45.1813685583538],[5.71223254966354,45.1816656554605]]}"
632,Rue Pierre Ruibet,5720,2000-01-01,oui,oui,JEAN VEYRAT (RUE),JOSEPH VALLIER (BOULEVARD),1948,1948-11-18,,Inconnue,"Pierre Ruibet, né à Grenoble le 9 juillet 1925 et mort pour la France à Jonzac le 30 juin 1944, résistant, compagnon de la Libération.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Ruibet,,"{""type"":""LineString"",""coordinates"":[[5.71215922330943,45.1811289939551],[5.71221558074159,45.1801699742267]]}"
633,Rue Pierre Sémard,5730,2000-01-01,oui,oui,BERRIAT (COURS),FELIX ESCLANGON (RUE),Inconnue,2019-11-02,,Inconnue,"Pierre Semard, né à Bragny-sur-Saône  le 15 février 1887 et mort à la prison d'Évreux le 7 mars 1942, syndicaliste, secrétaire général de la Fédération des cheminots et dirigeant du PCF dont il fut secrétaire général de 1924 à 1929.",Polygone (rue du),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Semard,,"{""type"":""MultiLineString"",""coordinates"":[[[5.71518751479548,45.1882747598792],[5.71517630971124,45.1883158083509],[5.71499231921179,45.1883560269311],[5.71483160025074,45.1884298984207],[5.71470654458335,45.1885309591928],[5.71464904245032,45.1886556580878],[5.71461982000386,45.1887586628612],[5.71454169111937,45.1888497053228],[5.71441155064606,45.1889652998099],[5.71444818378441,45.1889564035931],[5.71465534923604,45.1888243980005],[5.71544251920012,45.188412517088],[5.71548541042389,45.1883671876208],[5.71554247763471,45.1882535339175]],[[5.70811042365414,45.1936378894542],[5.70882937430006,45.1931474076749],[5.70960060971512,45.1925893208888],[5.71035059393029,45.1920465977434],[5.71146486893445,45.1912402292107],[5.7120381004961,45.1908253850173],[5.71259914420231,45.1903825814597],[5.71303087159184,45.1900418341446],[5.71381870553825,45.1894200074614],[5.71441155064606,45.1889652998099]]]}"
634,Rue des Artilleurs de Montagne,605,2000-01-01,oui,oui,SANS ISSUE,LOUVOIS (RUE),1985,1985-12-13,133,Inconnue,"Voie ainsi dénommée en hommage aux artilleurs de montagne (le 93ème régiment d'artillerie de montagne, héritier des batteries alpines et du 1er régiment d'artillerie de montagne, est aujourd'hui basé à Varces).",Inconnue,Inconnue,Inconnue,Inconnue,http://www.memoire-des-alpins.com/historique-des-troupes-alpines/1888-1914/creation-des-troupes-alpines/ram-les-regiments-dartillerie-de-montagne/,,"{""type"":""LineString"",""coordinates"":[[5.71767295550967,45.1748181045857],[5.71801307763382,45.1758198171655],[5.71811295064748,45.1761133845031]]}"
635,Rue Pierre Termier,5740,2000-01-01,oui,oui,PIERRE DUPONT (RUE),JOSEPH VALLIER (BOULEVARD),1938,2019-11-02,,Inconnue,"Pierre Termier, né à Lyon le 3 juillet 1859 et mort à Grenoble le 23 octobre 1930, géologue.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Pierre_Termier,,"{""type"":""LineString"",""coordinates"":[[5.71543832315812,45.1803037253923],[5.71568357895586,45.1810059805121],[5.71583268171008,45.1813725394555]]}"
636,Rue Pinal,5750,2000-01-01,oui,oui,FELIX VIALLET (AVENUE),ARISTIDE BERGES (RUE),2010,2010-07-05,9-A015,Inconnue,"Antoine Auguste Pinal, né à Grenoble en 1841 et mort à Grenoble en 1890, négociant et bienfaiteur.",Jardins (rue des),Inconnue,Guinguettes (chemin des) ,Inconnue,Aucun lien externe trouvé.,"""rue Pinal"" depuis 1909, le CM du 05/07/2010 adopte la dénomination ""chemin Pinal""","{""type"":""LineString"",""coordinates"":[[5.72006478628914,45.1910227458741],[5.71979703143632,45.1910879634093],[5.71863214515713,45.1911296167555]]}"
637,Chemin de la Piscine,5757,2000-01-01,oui,oui,MARCHE (PLACE DU),PARC (CHEMIN DU),1995,1995-01-23,,Inconnue,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73288845473691,45.1630465814345],[5.73331232734548,45.1625474056285],[5.73337162165146,45.1624775765628],[5.73397459220545,45.1620576673218]]}"
638,Rue des Poilus,5760,2000-01-01,oui,oui,JONGKIND (QUAI),SANS ISSUE,1918,2019-11-02,,Inconnue,"Peu après l'armistice du 11 novembre 1918, la municipalité décida d'honorer les combatants de la Grande Guerre, ainsi fut dénommée la rue des Poilus en hommage aux soldats qui, vivant dans les tranchées, n'avaient que peu de possibilités de se raser chaqu",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Poilu,,"{""type"":""LineString"",""coordinates"":[[5.73764836515757,45.2010804158975],[5.7377523746498,45.201072964586],[5.73782999897323,45.2010673647127],[5.73795490487459,45.2010578618539],[5.73827901899724,45.2010330824747],[5.73833424195412,45.2010299378858],[5.73944229030834,45.2009587410063],[5.73947854074979,45.2009796537893]]}"
639,Rue Ponsard,5770,2000-01-01,oui,oui,JEAN PERROT (AVENUE),MARCELIN BERTHELOT (AVENUE),1883,2019-11-02,,Inconnue,"François Ponsard, né à Vienne (Isère) le 1er juin 1814 et mort à Paris le 7 juillet 1867, poète et auteur dramatique.",Ducoin (chemin),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Fran%C3%A7ois_Ponsard,,"{""type"":""LineString"",""coordinates"":[[5.73183849541996,45.1763537224826],[5.73206412206034,45.1762502808703],[5.73254368861033,45.1761662378959],[5.73347739150662,45.1760048185236],[5.73413956693953,45.1758903358894],[5.73543282257679,45.1756653127462],[5.73650348474843,45.1754919770856],[5.73761562399733,45.1753138047437]]}"
640,Rue du Pont Carpin,5780,2000-01-01,oui,oui,JULES FLANDRIN (RUE),VALMY (AVENUE DE),1890,2019-11-02,,Inconnue,"Autrefois, un pont se tenait ici à la limite de Saint-Martin-d'Hères et qui franchissait un des canaux de dérivation de l'Isère : la Mogne. Le pont était en bois de charme dont le nom latin est ""carpinus"", d'où l'appellation ""Pont-Carpin"".",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Charme,,"{""type"":""LineString"",""coordinates"":[[5.74671033977502,45.1858963751905],[5.7465740696019,45.1860330145391],[5.74644283887961,45.1861926493711],[5.74640269246351,45.1862485771711],[5.74637172870965,45.1862938799476],[5.74635747605771,45.1863549024279],[5.74636245551499,45.1864007730259],[5.74637294554584,45.1864407188507],[5.74640784211241,45.1865147095909],[5.74646540060997,45.1865973116723],[5.74648309703323,45.1866184324926],[5.74652372630867,45.1866669237833],[5.74655459974593,45.1867026702776],[5.74660039188226,45.1867452738332],[5.74676382473333,45.186885288355],[5.74680076278294,45.1869165505075],[5.74691911472691,45.1870167161953],[5.74707558253522,45.187144327148],[5.74716653409449,45.1872252299111],[5.74723950939365,45.1873035976593],[5.74733851677137,45.1874046159276],[5.74746952725074,45.1875410771205],[5.74751467387205,45.1875856803976],[5.74765547637616,45.1877305894349],[5.74775243998388,45.187833648415],[5.74783102364466,45.187886006555],[5.74787110299248,45.1879093258901],[5.7479477108556,45.1879453524329],[5.74802721136435,45.1879835380176]]}"
641,Rue du Pont Saint Jaime,5790,2000-01-01,oui,oui,LAVALETTE (PLACE),CHENOISE (RUE),1800,2019-11-02,,Inconnue,,Ile (rue de l'),Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73081874291154,45.1935075160899],[5.73092129796638,45.1937430429118],[5.73094054306507,45.1938293176493],[5.7309176220088,45.1938625574453],[5.73097344876781,45.1940888749307],[5.73109747395357,45.1943832475973]]}"
642,Rue de la Poste,5800,2000-01-01,oui,oui,FELIX POULAT (RUE),VAUCANSON (PLACE),1900,2019-11-02,,Inconnue,,Créqui (rue),Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72632087804242,45.1901529935952],[5.72652210943322,45.1901262678883],[5.72700267402029,45.189798478894],[5.72730996755751,45.1895684161001],[5.72751056931769,45.1892883050383],[5.72782535098078,45.1888487522128],[5.72806662387489,45.1885297944537]]}"
643,Chemin de la Poterne,5820,2000-01-01,oui,oui,LEON JOUHAUX (RUE),JULES VALLES (AVENUE),1983,1983-10-14,58,Inconnue,Origine imprécise.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.74562713478992,45.1722538760813],[5.74682441980673,45.1719473228948],[5.74739301443471,45.1725999358365],[5.74835549326257,45.1737045947029],[5.74953180337114,45.1749341814133],[5.74955272300403,45.174984807668],[5.74958421433111,45.1750680830404],[5.74961523877259,45.1751737951727],[5.74964539712782,45.1752712478693],[5.74965582971581,45.1753045802162],[5.74932490805146,45.1758007832974],[5.74982764639342,45.1758060835408],[5.74998651407693,45.1757802804347],[5.75083430572669,45.1759912879912],[5.75091262754704,45.1760056682433],[5.75119339677113,45.1759759404139],[5.75252281072258,45.1763220144039]]}"
644,Rue Président Carnot,5850,2000-01-01,oui,oui,SAINTE-CLAIRE (PLACE),NOTRE DAME (PLACE),1888 ou 1896 ,2019-11-02,,Inconnue,,Centrale (voie),Inconnue,Ecu (rue de l'),Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73119068724408,45.1922399646113],[5.73096150793138,45.1917459206425],[5.73075332790453,45.1916416036775]]}"
645,Chemin des Arts,610,2000-01-01,oui,oui,VILLEBOIS (CHEMIN),SANS ISSUE,Inconnue,2019-11-02,,Inconnue,Origine imprécise.,Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Art,,"{""type"":""LineString"",""coordinates"":[[5.7428191805552,45.1842875499833],[5.74313897143454,45.1843210540311],[5.74340186972938,45.1843484782786],[5.74355636223903,45.1843575068415],[5.74366366598065,45.1843635971064],[5.74389787811801,45.1843925804978],[5.74412793930335,45.184418082895],[5.74432286502535,45.184439390696],[5.74454567636716,45.1844628532754],[5.74458732667528,45.184467396882]]}"
646,Rue Prosper Merimée,5860,2000-01-01,oui,oui,GUSTAVE FLAUBERT (RUE),STALINGRAD (RUE DE),1930,1930-12-20,7,Inconnue,"Prosper Mérimée, né à Paris le 28 septembre 1803 et mort à Cannes le 23 septembre 1870, écrivain, historien et archéologue.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Prosper_M%C3%A9rim%C3%A9e,,"{""type"":""LineString"",""coordinates"":[[5.72907984937118,45.1725000925764],[5.72514381363961,45.1739839156702]]}"
647,Rue des 400 Couverts,5870,2000-01-01,oui,oui,BERRIAT (COURS),RAYMOND BANK (RUE),1890,2019-11-02,,Inconnue,Origine imprécise.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71683533634274,45.1881762139412],[5.71687343383789,45.1882364497536],[5.71690750765528,45.1882881395734],[5.71696059932174,45.1883690836883],[5.71700663319774,45.1884403272344],[5.71704357879179,45.1884976067782],[5.71707696505088,45.1885484160173],[5.71711614508062,45.1886068913433],[5.71718729755384,45.1887159467808],[5.71722260486686,45.1887691315397],[5.71726450352856,45.1888327507717],[5.71731468102389,45.1889095470137],[5.71736583733755,45.1889878456587],[5.71737664466563,45.1890050915481],[5.71741592109888,45.1890630236752],[5.71744236137842,45.1891038588925],[5.7174760652608,45.1891557394002],[5.71750438989695,45.1891983208728],[5.71754676979278,45.1892636369853],[5.71757445491426,45.1893123064139]]}"
