VOIE_ID,VOIE_COMPLET,VOIE_FANTOIR,VOIE_DATECRE,VOIE_REAL,VOIE_OFFICIEL,TENANT,ABOUTISSANT,DENOM_ANNEE,DM_SEANCE,DELIB_NUM,COTE_ARCHIVES,DENOM_ORIGINE,DENOM_N_MOINS_1,DENOM_N_MOINS_1_ANNEE,DENOM_N_MOINS_2,DENOM_N_MOINS_2_ANNEE,LIEN_EXTERNE,OBSERVATIONS,GeoJSON
464,Rue Louis Le Cardonnel,4510,2000-01-01,oui,oui,JOSEPH VALLIER (BOULEVARD),CHARLES PEGUY (RUE),1938,2019-11-02,,Inconnue,"Louis Le Cardonnel, né à Valence le 22 février 1862 et mort à Avignon le 28 mai 1936, prêtre et poète.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Louis_Le_Cardonnel,,"{""type"":""LineString"",""coordinates"":[[5.71543832315812,45.1803037253923],[5.71490769366211,45.1787816299633]]}"
465,Parvis Louis Néel,4522,2000-01-01,oui,oui,FELIX ESCLANGON (RUE),SANS ISSUE,2004,2004-04-19,,2848W 235,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.70999030790418,45.1954847251794],[5.71083764811135,45.1954277105081]]}"
466,Impasse Louis Vallier,4524,2000-01-01,oui,oui,VIZILLE (AVENUE DE),JEAN PERROT (AVENUE),Inconnue,2019-11-02,,Inconnue,"Louis Vallier, né à Grenoble en 1853 et mort à Grenoble en 1920, gantier.",Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71677543779045,45.1842430732414],[5.71662901307661,45.1835542148493],[5.71657964546614,45.1835185212593]]}"
467,Rue Louis Vidal,4525,2000-01-01,oui,oui,PONSARD (RUE),GORDES (CHEMIN DE),1969,1969-12-19,,Inconnue,"Louis Vidal, né à Nîmes en 1868 et mort à Grenoble  en 1941, professeur de micrographie.",Inconnue,Inconnue,Inconnue,Inconnue,https://www.jardinalpindulautaret.fr/botanique/biographies-botanistes/louis-vidal-1868-1941?language=fr,,"{""type"":""LineString"",""coordinates"":[[5.73413956693953,45.1758903358894],[5.73422113439172,45.1758177597902],[5.73382413780412,45.1746462693946]]}"
468,Rue André Rivoire,500,2000-01-01,oui,oui,JOSEPH VALLIER (BOULEVARD),JOSEPH BOUCHAYER (RUE),1938,2019-11-02,,Inconnue,"André Rivoire, né à Vienne le 5 mai 1872 et mort à Paris le 19 août 1930, poète et auteur dramatique.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Andr%C3%A9_Rivoire,,"{""type"":""LineString"",""coordinates"":[[5.71274392649835,45.1762970370911],[5.71294723324286,45.1766971847486],[5.71335717534974,45.1775607260536],[5.713951475544,45.1787533904504],[5.71468440310695,45.180264175104]]}"
469,Rue Louise Drevet,4528,2000-01-01,oui,oui,DRAC (RUE DU),AMPERE (RUE),1911,2019-11-02,,Inconnue,"Marie Louise Drevet, née Chaffanel à Grenoble en 1836 et mort à Grenoble en 1898, écrivain, fondatrice du journal le ""Dauphiné"".",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Louise_Drevet,,"{""type"":""LineString"",""coordinates"":[[5.70719975779754,45.1865436295013],[5.70577418484463,45.186591029196]]}"
470,Rue Louise Michel,4530,2000-01-01,oui,oui,"LIBERATION ET DU G, DE GAULLE",RHIN ET DANUBE (AVENUE),1930,1930-12-20,7,Inconnue,"Louise Michel, née à Vroncourt-la-Côte (Haute-Marne) le 29 mai 1830 et morte à Marseille le 9 janvier 1905, institutrice, militante anarchiste, franc-maçonne.",Iles (chemin des),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Louise_Michel,,"{""type"":""LineString"",""coordinates"":[[5.70464943032446,45.1676059582455],[5.70494519082684,45.1679575527252],[5.70646440508715,45.1678892810263],[5.70819289877861,45.1687513179677],[5.70962906441332,45.1694363550549],[5.71042988087312,45.1698080904025],[5.71167389521021,45.1699743997292],[5.71205171515987,45.1699996068868],[5.71242953544174,45.1700248127981],[5.7129884293281,45.1699977431587]]}"
471,Rue Louvois,4540,2000-01-01,oui,oui,PARC GEORGES POMPIDOU,ARTILLEURS DE MONTAGNE (RUE DES),1929,2019-11-02,,Inconnue,"François Michel Le Tellier, marquis de Louvois né à Paris le 18 janvier 1641 et mort à Versailles le 16 juillet 1691, homme d'État.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Fran%C3%A7ois_Michel_Le_Tellier_de_Louvois,Dans le réseau des voies publiques en 1930 d'après Dreyfus,"{""type"":""MultiLineString"",""coordinates"":[[[5.72063170429496,45.1755967808222],[5.72143814924464,45.175897924504]],[[5.71767295550967,45.1748181045857],[5.7178291630567,45.1747916680136],[5.71825432131124,45.1747047950351],[5.71837575199472,45.1746464877229],[5.71901173729321,45.174914336913],[5.71981599020187,45.1752532123463],[5.72020632644489,45.1754182530412],[5.7202962796992,45.1754457546678]]]}"
472,Rue Lucien Andrieux,4550,2000-01-01,oui,oui,ALFRED DE VIGNY (RUE),EDMOND ESMONIN (AVENUE),1966,2019-11-02,,Inconnue,"Jean-Lucien Andrieux, né à Royère (Creuse) en 1887 et mort à Grenoble en 1962, professeur, scientifique, directeur de l'institut d'électrochimie et d'électrométallurgie.",Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.7206024051014,45.1607000175253],[5.72060041401195,45.1609689149189],[5.72068488713958,45.1614022708466],[5.72083297742478,45.1623702830126],[5.72088000403718,45.1625786145145],[5.72115423361404,45.1637934418459],[5.72116415124473,45.1638373756157],[5.7213510209276,45.1645424205497],[5.72149446148497,45.1650547831502]]}"
473,Passage du Lycée,4557,2000-01-01,oui,oui,RAOUL BLANCHARD (RUE),JEAN ACHARD (PLACE),Inconnue,2019-11-02,,Inconnue,"Le lycée actuel correspond principalement aux trois dernières années de l'enseignement secondaire (seconde, première et terminale); les enseignements aboutissent à des examens finaux et nationaux : le baccalauréat, le BEP ou le CAP.",Collège (passage du),,Bibliothèque (passage de la),,http://fr.wikipedia.org/wiki/Lyc%C3%A9e_en_France,Dénomination précèdante -3 : passage des Tuiles (1794),"{""type"":""LineString"",""coordinates"":[[5.72975119215606,45.1900987121025],[5.72964842511173,45.1895340704831]]}"
